SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1992212N05154,95,1000
2010243N12146,50,1004
2003226N07156,65,998
2023241N10158,45,1000
2017223N16172,80,1002
1997236N10172,85,996
1979333N07169,90,996
2004275N14139,100,996
2005301N13117,80,1000
2014015N10129,35,1006
2018214N19153,70,998
2016278N16181,100,1000
1981266N09151,120,990
1999266N18113,45,1000
1989103N07154,100,998
2005311N08140,35,1002
2021282N16165,50,1000
2022211N20129,35,1000
1988156N18128,35,1000
2018294N08161,115,1008
1977308N07156,110,1000
1997221N03179,55,998
1993185N09137,60,1000
2017242N19122,50,1000
1979266N18150,40,996
2012196N19144,50,1002
2011167N08129,40,994
1989216N06159,75,998
1981212N18142,40,990
2016269N15165,115,1000
2012287N16147,50,1004
2016279N19130,60,998
2022254N24143,105,996
1981319N07163,110,1000
2019242N18126,35,998
2019278N16165,105,1000
2016313N11163,35,1004
2009196N14129,65,998
1984227N18118,55,992
2022268N20147,60,998
2021216N22144,55,1002
2011205N12130,50,996
2017252N14147,95,1000
1996252N11162,70,996
2012209N11131,70,1000
2001125N05129,50,1000
1986330N05173,110,1004
1999151N09132,75,998
1999116N14114,65,996
1994215N30149,70,1000
1982272N11156,120,994
2014248N19129,60,998
2013324N07103,75,1004
2004193N19136,45,998
1982077N04161,100,996
1995233N16115,50,996
2009270N10148,100,1000
1988290N08145,60,1000
1996291N17168,70,998
2004284N07157,85,994
2002227N14115,40,992
1994287N08176,80,1000
1986287N09141,45,996
1978203N14152,70,994
2000258N22138,55,996
1996312N14125,40,998
2004255N23120,40,1000
1994210N16144,45,998
1979242N22143,45,998
2024244N09137,105,1000
1990271N13153,80,998
2007249N24161,55,1002
1978262N14135,50,994
1991304N08140,40,1000
2006209N13130,65,998
2011270N18139,95,1000
2003138N04148,85,998
2009268N14128,70,994
1979174N07143,75,994
1988226N26127,35,1000
2013243N26122,50,1000
1999203N17129,50,990
1985256N13146,45,1000
1997283N07177,105,1000
1998259N17118,75,996
1990272N11121,35,998
1985227N16149,80,994
1978303N14131,45,998
2023108N03160,45,1002
2017236N15129,55,1000
2014329N08131,45,1000
2020129N07134,85,1000
2008226N22134,50,996
1988170N05141,70,998
1990008N01172,55,996
1992237N14144,55,990
2016287N12131,95,998
2019243N06136,95,1000
1981178N05160,55,998
2024141N03142,75,1002
2024224N27154,40,1000
2000199N20145,40,998
1995264N06174,50,998
1983321N11111,70,1000
1993306N10168,45,998
2018204N15137,75,998
1999218N21116,35,996
2003316N11141,65,1000
1981202N24123,40,996
1992227N17112,45,996
1987222N27145,35,1006
2009238N12189,30,1009
1986270N05178,85,1002
1988295N10138,75,996
2011233N12129,100,996
1984294N04163,120,996
1983276N06130,45,1000
2019329N09160,90,1004
1993221N12216,90,998
2015273N12130,85,1002
1994250N14133,45,996
2007208N20155,90,1000
2019306N10162,115,1000
2005241N15155,95,994
2019302N11118,75,1004
2006180N06140,100,1000
1989194N13149,45,1000
2015362N01179,30,1010
2012331N03157,100,1004
